Ignore,Scene,Start,End,Caption
No,0,00:24:53.071,00:24:58.167,
No,0,00:24:58.577,00:25:01.420,
No,0,00:25:01.830,00:25:05.216,
No,0,00:25:05.626,00:25:07.009,
No,0,00:25:07.419,00:25:09.011,
No,0,00:25:09.421,00:25:12.223,
No,0,00:25:12.633,00:25:14.225,
No,0,00:25:14.635,00:25:18.687,
No,0,00:25:19.097,00:25:21.649,
No,0,00:25:22.059,00:25:26.737,
No,0,00:25:27.147,00:25:38.999,
No,0,00:25:39.409,00:25:54.682,
No,0,00:25:55.092,00:25:55.891,
No,0,00:25:56.301,00:26:08.195,
No,0,00:26:08.605,00:26:12.157,
No,0,00:26:12.567,00:26:14.034,
No,0,00:26:14.444,00:26:15.703,
No,0,00:26:16.113,00:26:24.169,
No,0,00:26:24.579,00:26:29.258,
No,0,00:26:29.668,00:26:40.769,
No,0,00:26:41.179,00:26:43.439,
No,0,00:26:43.849,00:26:44.982,
No,0,00:26:45.392,00:26:46.317,
No,0,00:26:46.727,00:26:47.693,
No,0,00:26:48.103,00:26:49.153,
No,0,00:26:49.563,00:26:51.989,
No,0,00:26:52.399,00:26:58.746,
No,0,00:26:59.156,00:27:00.581,
No,0,00:27:00.991,00:27:01.915,
No,0,00:27:02.325,00:27:04.335,
No,0,00:27:04.745,00:27:05.961,
No,0,00:27:06.371,00:27:11.091,
No,0,00:27:11.501,00:27:14.887,
No,0,00:27:15.297,00:27:20.100,
No,0,00:27:20.510,00:27:23.520,
No,0,00:27:23.930,00:27:30.361,
No,0,00:27:30.771,00:27:31.904,
No,0,00:27:32.314,00:27:33.447,
No,0,00:27:33.857,00:27:37.951,
No,0,00:27:38.361,00:27:39.620,
No,0,00:27:40.030,00:27:46.919,
No,0,00:27:47.329,00:27:49.421,
No,0,00:27:49.831,00:27:56.637,
No,0,00:27:57.047,00:28:00.265,
No,0,00:28:00.675,00:28:02.184,
No,0,00:28:02.594,00:28:04.019,
No,0,00:28:04.429,00:28:06.605,
No,0,00:28:07.015,00:28:11.026,
No,0,00:28:11.436,00:28:13.237,
No,0,00:28:13.647,00:28:16.990,
No,0,00:28:17.400,00:28:19.034,
No,0,00:28:19.444,00:28:20.994,
No,0,00:28:21.404,00:28:23.539,
No,0,00:28:23.949,00:28:33.549,
No,0,00:28:33.959,00:28:36.135,
No,0,00:28:36.545,00:28:38.053,
No,0,00:28:38.463,00:28:39.471,
No,0,00:28:39.881,00:28:41.181,
No,0,00:28:41.591,00:28:44.143,
No,0,00:28:44.553,00:28:46.562,
No,0,00:28:46.972,00:28:48.689,
No,0,00:28:49.099,00:28:51.525,
No,0,00:28:51.935,00:28:54.528,
No,0,00:28:54.938,00:28:56.905,
No,0,00:28:57.315,00:28:59.700,
No,0,00:29:00.110,00:29:02.786,
No,0,00:29:03.196,00:29:07.166,
No,0,00:29:07.576,00:29:10.252,
No,0,00:29:10.662,00:29:11.128,
No,0,00:29:11.538,00:29:12.880,
No,0,00:29:13.290,00:29:16.258,
No,0,00:29:16.668,00:29:18.927,
No,0,00:29:19.337,00:29:21.388,
No,0,00:29:21.798,00:29:23.974,
No,0,00:29:24.384,00:29:25.058,
No,0,00:29:25.468,00:29:38.113,
No,0,00:29:38.523,00:29:39.406,
No,0,00:29:39.816,00:29:40.449,
No,0,00:29:40.859,00:29:49.458,
No,0,00:29:49.868,00:29:51.460,
No,0,00:29:51.870,00:29:55.214,
No,0,00:29:55.624,00:29:57.633,
No,0,00:29:58.043,00:29:58.884,
No,0,00:29:59.294,00:30:01.637,
No,0,00:30:02.047,00:30:08.685,
No,0,00:30:09.095,00:30:10.395,
No,0,00:30:10.805,00:30:17.820,
No,0,00:30:18.230,00:30:19.738,
No,0,00:30:20.148,00:30:23.033,
No,0,00:30:23.443,00:30:26.995,
No,0,00:30:27.405,00:30:30.916,
No,0,00:30:31.326,00:30:33.877,
No,0,00:30:34.287,00:30:37.506,
No,0,00:30:37.916,00:30:38.966,
No,0,00:30:39.376,00:30:43.595,
No,0,00:30:44.005,00:30:45.347,
No,0,00:30:45.757,00:30:48.100,
No,0,00:30:48.510,00:30:51.103,
No,0,00:30:51.513,00:30:52.563,
No,0,00:30:52.973,00:31:11.540,
No,0,00:31:11.950,00:31:13.125,
No,0,00:31:13.535,00:31:17.754,
No,0,00:31:18.164,00:31:19.172,
No,0,00:31:19.582,00:31:21.800,
No,0,00:31:22.210,00:31:23.802,
