Ignore,Scene,Start,End,Shot_Caption,Scene_Caption
No,0,00:42:59.699,00:43:01.124,,
No,0,00:43:01.534,00:43:02.500,,
No,0,00:43:02.910,00:43:05.003,,
No,0,00:43:05.413,00:43:09.257,,
No,0,00:43:09.667,00:43:15.263,,
No,0,00:43:15.673,00:43:17.348,,
No,0,00:43:17.758,00:43:21.644,,
No,0,00:43:22.054,00:43:26.357,,
No,0,00:43:26.767,00:43:31.404,,
No,0,00:43:31.814,00:43:33.031,,
No,0,00:43:33.441,00:43:35.033,,
No,0,00:43:35.443,00:43:37.368,,
No,0,00:43:37.778,00:43:41.164,,
No,0,00:43:41.574,00:43:53.176,,
No,0,00:43:53.586,00:43:55.178,,
No,0,00:43:55.588,00:44:01.309,,
No,0,00:44:01.719,00:44:07.815,,
No,0,00:44:08.225,00:44:09.150,,
No,0,00:44:09.560,00:44:10.485,,
No,0,00:44:10.895,00:44:12.654,,
No,0,00:44:13.064,00:44:16.199,,
No,0,00:44:16.609,00:44:21.454,,
No,0,00:44:21.864,00:44:23.706,,
No,0,00:44:24.116,00:44:35.718,,
No,0,00:44:36.128,00:44:43.017,,
No,0,00:44:43.427,00:44:45.353,,
No,0,00:44:45.763,00:45:00.618,,
No,0,00:45:01.028,00:45:02.662,,
No,0,00:45:03.072,00:45:05.415,,
No,0,00:45:05.825,00:45:30.732,,
No,0,00:45:31.142,00:45:36.279,,
No,0,00:45:36.689,00:45:38.364,,
No,0,00:45:38.774,00:45:42.493,,
No,0,00:45:42.903,00:45:54.005,,
No,0,00:45:54.415,00:45:58.217,,
No,0,00:45:58.627,00:46:25.661,,
No,0,00:46:26.071,00:46:40.218,,
No,0,00:46:40.628,00:46:45.932,,
No,0,00:46:46.342,00:46:48.309,,
No,0,00:46:48.719,00:46:52.855,,
No,0,00:46:53.265,00:46:56.526,,
No,0,00:46:56.936,00:47:01.155,,
No,0,00:47:01.565,00:47:23.636,,
No,0,00:47:24.046,00:47:25.555,,
No,0,00:47:25.965,00:47:36.023,,
No,0,00:47:36.433,00:47:38.776,,
No,0,00:47:39.186,00:47:43.781,,
No,0,00:47:44.191,00:47:46.659,,
No,0,00:47:47.069,00:47:56.002,,
No,0,00:47:56.412,00:48:01.674,,
No,0,00:48:02.084,00:48:27.116,,
No,0,00:48:27.526,00:48:29.952,,
No,0,00:48:30.362,00:48:40.880,,
No,0,00:48:41.290,00:49:00.900,,
No,0,00:49:01.310,00:49:04.403,,
No,0,00:49:04.813,00:49:11.327,,
No,0,00:49:11.737,00:49:14.872,,
No,0,00:49:15.282,00:49:37.561,,
No,0,00:49:37.971,00:49:59.667,,
No,0,00:50:00.077,00:50:05.548,,
No,0,00:50:05.958,00:50:11.429,,
No,0,00:50:11.839,00:50:41.625,,
No,0,00:50:42.035,00:51:01.937,,
No,0,00:51:02.347,00:51:03.272,,
No,0,00:51:03.682,00:51:15.868,,
No,0,00:51:16.278,00:51:39.225,,
No,0,00:51:39.635,00:51:43.437,,
No,0,00:51:43.847,00:51:45.272,,
No,0,00:51:45.682,00:51:51.946,,
No,0,00:51:52.356,00:51:57.952,,
No,0,00:51:58.362,00:52:19.557,,
No,0,00:52:19.967,00:53:01.307,,
No,0,00:53:01.717,00:53:04.894,,
No,0,00:53:05.304,00:53:07.688,,
No,0,00:53:08.098,00:53:09.440,,
No,0,00:53:09.850,00:53:12.443,,
No,0,00:53:12.853,00:53:17.990,,
No,0,00:53:18.400,00:53:20.242,,
No,0,00:53:20.652,00:53:23.621,,
No,0,00:53:24.031,00:53:26.790,,
No,0,00:53:27.200,00:53:29.335,,
No,0,00:53:29.745,00:53:30.920,,
No,0,00:53:31.330,00:53:31.962,,
No,0,00:53:32.372,00:53:38.761,,
No,0,00:53:39.171,00:53:43.599,,
No,0,00:53:44.009,00:53:46.769,,
No,0,00:53:47.179,00:53:49.813,,
No,0,00:53:50.223,00:53:52.483,,
No,0,00:53:52.893,00:53:56.570,,
No,0,00:53:56.980,00:54:01.200,,
No,0,00:54:01.610,00:54:07.623,,
No,0,00:54:08.033,00:54:16.048,,
No,0,00:54:16.458,00:54:21.553,,
No,0,00:54:21.963,00:54:24.640,,
No,0,00:54:25.050,00:54:41.323,,
No,0,00:54:41.733,00:54:44.326,,
No,0,00:54:44.736,00:54:46.912,,
No,0,00:54:47.322,00:54:50.374,,
No,0,00:54:50.784,00:54:54.545,,
No,0,00:54:54.955,00:54:57.673,,
No,0,00:54:58.083,00:55:01.010,,
No,0,00:55:01.420,00:55:03.137,,
No,0,00:55:03.547,00:55:10.436,,
No,0,00:55:10.846,00:55:17.985,,
No,0,00:55:18.395,00:55:20.070,,
No,0,00:55:20.480,00:55:25.617,,
No,0,00:55:26.027,00:55:33.083,,
No,0,00:55:33.493,00:55:44.511,,
No,0,00:55:44.921,00:55:49.099,,
No,0,00:55:49.509,00:56:06.283,,
No,0,00:56:06.693,00:56:15.334,,
No,0,00:56:15.744,00:56:16.668,,
No,0,00:56:17.078,00:56:33.852,,
No,0,00:56:34.262,00:56:37.940,,
No,0,00:56:38.350,00:56:40.317,,
No,0,00:56:40.727,00:56:51.453,,
No,0,00:56:51.863,00:56:53.789,,
No,0,00:56:54.199,00:57:05.050,,
No,0,00:57:05.460,00:57:18.814,,
No,0,00:57:19.224,00:57:24.820,,
No,0,00:57:25.230,00:57:56.477,,
No,0,00:57:56.887,00:58:01.607,,
No,0,00:58:02.017,00:58:04.943,,
No,0,00:58:05.353,00:58:09.740,,
No,0,00:58:10.150,00:58:12.534,,
No,0,00:58:12.944,00:58:19.166,,
No,0,00:58:19.576,00:58:25.130,,
No,0,00:58:25.540,00:58:39.394,,
No,0,00:58:39.804,00:58:43.524,,
No,0,00:58:43.934,00:58:56.578,,
No,0,00:58:56.988,00:58:58.455,,
No,0,00:58:58.865,00:59:00.541,,
No,0,00:59:00.951,00:59:13.053,,
No,0,00:59:13.463,00:59:19.101,,
No,0,00:59:19.511,00:59:21.186,,
No,0,00:59:21.596,00:59:25.899,,
No,0,00:59:26.309,00:59:41.873,,
No,0,00:59:42.283,00:59:52.175,,
No,0,00:59:52.585,00:59:55.012,,
No,0,00:59:55.422,00:59:59.182,,
No,0,00:59:59.592,01:00:13.614,,
No,0,01:00:14.024,01:00:16.283,,
No,0,01:00:16.693,01:00:19.911,,
No,0,01:00:20.321,01:00:21.580,,
No,0,01:00:21.990,01:00:23.582,,
No,0,01:00:23.992,01:00:27.169,,
No,0,01:00:27.579,01:00:28.545,,
No,0,01:00:28.955,01:00:30.088,,
No,0,01:00:30.498,01:00:30.756,,
No,0,01:00:31.166,01:00:31.298,,
No,0,01:00:31.708,01:00:32.341,,
No,0,01:00:32.751,01:00:35.552,,
No,0,01:00:35.962,01:00:39.514,,
No,0,01:00:39.924,01:00:41.600,,
No,0,01:00:42.010,01:00:42.934,,
No,0,01:00:43.344,01:00:46.396,,
No,0,01:00:46.806,01:00:50.442,,
No,0,01:00:50.852,01:00:53.737,,
No,0,01:00:54.147,01:00:56.365,,
No,0,01:00:56.775,01:01:04.706,,
No,0,01:01:05.116,01:01:07.626,,
No,0,01:01:08.036,01:01:09.961,,
No,0,01:01:10.371,01:01:13.548,,
No,0,01:01:13.958,01:01:16.885,,
No,0,01:01:17.295,01:01:20.013,,
No,0,01:01:20.423,01:01:25.018,,
No,0,01:01:25.428,01:01:27.479,,
No,0,01:01:27.889,01:01:28.397,,
No,0,01:01:28.807,01:01:29.690,,
No,0,01:01:30.100,01:01:32.442,,
No,0,01:01:32.852,01:01:42.202,,
No,0,01:01:42.612,01:01:43.745,,
No,0,01:01:44.155,01:01:44.871,,
No,0,01:01:45.281,01:01:48.834,,
No,0,01:01:49.244,01:01:54.172,,
No,0,01:01:54.582,01:01:57.092,,
